country,region,year,pop_total,pop_growth,avg_temp_c,avg_temp_f
Iraq,Middle East & North Africa,2010,29741976,2.61894281075137,25.493916666666667,77.88905000000001
Iraq,Middle East & North Africa,2011,30725300,3.2527038113747,23.4375,74.1875
Iraq,Middle East & North Africa,2012,31890011,3.72064065173913,24.344833333333337,75.8207
Iraq,Middle East & North Africa,2013,33157050,3.89625377465149,25.142875,77.25717499999999
Italy,Europe & Central Asia,2000,56942108,0.045303631138613,13.42425,56.16365
Italy,Europe & Central Asia,2001,56974100,0.0561676014374784,13.225249999999997,55.80545
Italy,Europe & Central Asia,2002,57059007,0.148916429490753,13.135666666666665,55.64420000000001
Italy,Europe & Central Asia,2003,57313203,0.444507312655549,13.618833333333333,56.51390000000001
Italy,Europe & Central Asia,2004,57685327,0.647182705470772,12.753916666666667,54.95705
Italy,Europe & Central Asia,2005,57969484,0.491389107503214,12.159999999999998,53.888000000000005
Italy,Europe & Central Asia,2006,58143979,0.30055968851778,12.869750000000002,55.16555
Italy,Europe & Central Asia,2007,58438310,0.504933687397673,13.318083333333332,55.972550000000005
Italy,Europe & Central Asia,2008,58826731,0.662469252941527,13.010916666666667,55.41965000000001
Italy,Europe & Central Asia,2009,59095365,0.455613449577732,13.280166666666668,55.904300000000006
Italy,Europe & Central Asia,2010,59277417,0.30759122234095,12.628500000000003,54.731300000000005
Italy,Europe & Central Asia,2011,59379449,0.171978290995717,13.463166666666666,56.2337
Italy,Europe & Central Asia,2012,59539717,0.269541239520996,13.454166666666667,56.21750000000001
Italy,Europe & Central Asia,2013,60233948,1.1592511168095,13.602749999999999,56.484950000000005
Japan,East Asia & Pacific,2000,126843000,0.167275578113187,14.58475,58.252549999999985
Japan,East Asia & Pacific,2001,127149000,0.240952587521069,14.299750000000003,57.73955000000001
Japan,East Asia & Pacific,2002,127445000,0.232527187105684,14.576041666666667,58.236875
Japan,East Asia & Pacific,2003,127718000,0.213980948779682,14.118791666666667,57.413825
Japan,East Asia & Pacific,2004,127761000,0.0336622582725446,15.186125000000002,59.335025
Japan,East Asia & Pacific,2005,127773000,0.00939209655766336,14.174958333333334,57.514925
Japan,East Asia & Pacific,2006,127854000,0.0633735894181335,14.363208333333333,57.85377500000001
Japan,East Asia & Pacific,2007,128001000,0.114908847726211,14.80954166666667,58.657174999999995
Japan,East Asia & Pacific,2008,128063000,0.0484253945978966,14.440875,57.993574999999986
Japan,East Asia & Pacific,2009,128047000,-0.0124946312294096,14.606625,58.291924999999985
Japan,East Asia & Pacific,2010,128070000,0.0179605415195644,14.846708333333332,58.724075000000006
Japan,East Asia & Pacific,2011,127833000,-0.185226486410846,14.378208333333335,57.88077499999999
Japan,East Asia & Pacific,2012,127629000,-0.159710675844347,14.161041666666668,57.48987499999999
Japan,East Asia & Pacific,2013,127445000,-0.144271883387076,14.966437500000003,58.939587499999995
Kenya,Sub-Saharan Africa,2000,31964557,2.74598446736801,16.734583333333337,62.12224999999999
Kenya,Sub-Saharan Africa,2001,32848564,2.72803349098304,16.096833333333333,60.9743
Kenya,Sub-Saharan Africa,2002,33751739,2.71239117927457,16.613833333333332,61.904900000000005
Kenya,Sub-Saharan Africa,2003,34678779,2.70960017630321,16.873833333333334,62.37290000000001
Kenya,Sub-Saharan Africa,2004,35635271,2.72079621276752,16.917749999999998,62.451950000000004
Kenya,Sub-Saharan Africa,2005,36624895,2.73922946311668,17.281916666666664,63.10745000000001
Kenya,Sub-Saharan Africa,2006,37649033,2.7579069546198,16.92475,62.46455
Kenya,Sub-Saharan Africa,2007,38705932,2.76855999579287,16.599416666666666,61.878949999999996
Kenya,Sub-Saharan Africa,2008,39791981,2.76725396349733,16.659166666666664,61.98650000000001
Kenya,Sub-Saharan Africa,2009,40901792,2.75084666918483,17.301833333333335,63.14329999999998
Kenya,Sub-Saharan Africa,2010,42030676,2.72258563675138,16.822333333333336,62.2802
Kenya,Sub-Saharan Africa,2011,43178257,2.69373257244067,16.897000000000002,62.4146
Kenya,Sub-Saharan Africa,2012,44343410,2.66270485977409,16.838,62.3084
Kenya,Sub-Saharan Africa,2013,45519889,2.61852443669926,16.909374999999997,62.436875
Morocco,Middle East & North Africa,2000,28793679,1.18141040978911,18.163666666666668,64.6946
Morocco,Middle East & North Africa,2001,29126330,1.14866921931345,18.727333333333334,65.7092
Morocco,Middle East & North Africa,2002,29454768,1.12132224416802,18.245916666666666,64.84265
Morocco,Middle East & North Africa,2003,29782884,1.10780675650011,18.399083333333337,65.11835
Morocco,Middle East & North Africa,2004,30115214,1.10966264777727,18.071583333333333,64.52885
Morocco,Middle East & North Africa,2005,30455561,1.1238112175633,18.182083333333335,64.72775
Morocco,Middle East & North Africa,2006,30804683,1.13981191369574,18.37908333333333,65.08235
Morocco,Middle East & North Africa,2007,31163673,1.15863656608296,17.934916666666666,64.28285
Morocco,Middle East & North Africa,2008,31536811,1.19023771838308,17.80025,64.04045
Morocco,Middle East & North Africa,2009,31929087,1.23619457979488,18.561333333333334,65.4104
Morocco,Middle East & North Africa,2010,32343389,1.28922289658525,18.82525,65.88544999999999
Morocco,Middle East & North Africa,2011,32781850,1.34653670901257,18.533083333333334,65.35955
Morocco,Middle East & North Africa,2012,33241898,1.3936059661851,18.244666666666667,64.84039999999999
Morocco,Middle East & North Africa,2013,33715693,1.41523283877928,18.789625,65.821325
Mexico,Latin America & Caribbean,2000,98899845,1.4410874716918,16.113916666666665,61.005050000000004
Mexico,Latin America & Caribbean,2001,100298153,1.40396086548011,15.978833333333334,60.7619
Mexico,Latin America & Caribbean,2002,101684758,1.37301396068965,16.37,61.466
Mexico,Latin America & Caribbean,2003,103081020,1.36378613127152,16.651083333333332,61.97195
Mexico,Latin America & Caribbean,2004,104514932,1.38146701870069,16.20441666666667,61.16794999999999
Mexico,Latin America & Caribbean,2005,106005203,1.4158226663881,16.702666666666666,62.0648
Mexico,Latin America & Caribbean,2006,107560153,1.4562076048431,16.373499999999996,61.4723
Mexico,Latin America & Caribbean,2007,109170502,1.48606447529473,16.378083333333333,61.480549999999994
Mexico,Latin America & Caribbean,2008,110815271,1.49536911114693,16.21941666666667,61.19495
Mexico,Latin America & Caribbean,2009,112463887,1.47675759411249,16.653666666666666,61.9766
Mexico,Latin America & Caribbean,2010,114092963,1.43814153288358,15.873083333333334,60.571549999999995
Mexico,Latin America & Caribbean,2011,115695473,1.39479253855144,16.639166666666664,61.950499999999984
Mexico,Latin America & Caribbean,2012,117274155,1.3552892520419,16.426499999999997,61.567699999999995
Mexico,Latin America & Caribbean,2013,118827161,1.31556098414421,17.342444444444443,63.21639999999999
Nigeria,Sub-Saharan Africa,2000,122283850,2.50384696907061,26.716722222222216,80.09010000000002
Nigeria,Sub-Saharan Africa,2001,125394046,2.51161653646957,26.718000000000004,80.09239999999998
Nigeria,Sub-Saharan Africa,2002,128596076,2.52151511108862,27.025027777777773,80.64504999999998
Nigeria,Sub-Saharan Africa,2003,131900631,2.5372545520347,27.11597222222222,80.80874999999999
Nigeria,Sub-Saharan Africa,2004,135320422,2.55966188024473,27.141694444444443,80.85504999999999
Nigeria,Sub-Saharan Africa,2005,138865016,2.58568909447514,27.311222222222213,81.1602
Nigeria,Sub-Saharan Africa,2006,142538308,2.61084382648474,27.388388888888887,81.29910000000001
Nigeria,Sub-Saharan Africa,2007,146339977,2.63217326365436,27.329388888888886,81.1929
Nigeria,Sub-Saharan Africa,2008,150269623,2.64986429293929,27.024888888888896,80.6448
